gate,test,status,severity,detail
A,file exists: index.html,PASS,,/mnt/data/ThermoBase_v18/index.html
A,file exists: app.js,PASS,,/mnt/data/ThermoBase_v18/app.js
A,file exists: styles.css,PASS,,/mnt/data/ThermoBase_v18/styles.css
A,file exists: data/thermobase.json,PASS,,/mnt/data/ThermoBase_v18/data/thermobase.json
A,valid JSON,PASS,,standards-compliant JSON
A,record count,PASS,,1238
A,field count,PASS,,337
A,schema names unique,PASS,,337 unique names
A,every record exposes full schema,PASS,,key counts=[337]
A,all schema fields present,PASS,,missing=[]
A,record IDs unique,PASS,,1238 unique
A,no NaN/Infinity in JSON,PASS,,bad=[]
A,metadata dimensions agree,PASS,,"{'records': 1238, 'columns': 337, 'version': 'v74 ML final release', 'frozen_dataset': 'v72', 'analysis_release': 'v74', 'integration_release': 'v75'}"
A,frozen web data SHA256 matches release manifest,PASS,,actual=352330dd7e295665d30c3234164526e49ff1d04ecc50d9bd739a662aa02e23b4 expected=352330dd7e295665d30c3234164526e49ff1d04ecc50d9bd739a662aa02e23b4
A,release manifest dimensions agree,PASS,,manifest=1238×337
B,source dimensions,PASS,,1238×337
B,source/web column order identical,PASS,,mismatch index=None
B,source/web values equivalent,PASS,,mismatches=[]; max numeric serialization delta=8.88e-16
C,HTML IDs unique,PASS,,149 IDs
C,static JS DOM references resolve,PASS,,missing=[]
C,scientific journey sections present,PASS,,missing=[]
C,data path is local JSON,PASS,,client data path
C,free-form chat wired,PASS,,chat form
C,navigation history wired,PASS,,browser history
C,collapsible/mobile navigation wired,PASS,,navigation controls
D,all static chart containers have render paths,PASS,,missing=[]
D,dynamic chart targets explicitly handled,PASS,,modalPlot is a static modal mount; chatPlot is created dynamically by chatVisual()
D,chart maximize contract,PASS,,maximize/fullscreen
D,no-data contract,PASS,,evidence-aware empty state
D,plot calls include explanation argument,PASS,,calls_with_explanation=35 static=34
D,explanation contract,PASS,,universal guide injection
D,every static chart has a guide entry,PASS,,missing=[]
E,control exists: fDomain,PASS,,present=True
E,control exists: fEnvironment,PASS,,present=True
E,control exists: fTopt,PASS,,present=True
E,control exists: fPh,PASS,,present=True
E,control exists: fMet,PASS,,present=True
E,control exists: mlPathway,PASS,,present=True
E,control exists: mlPredictors,PASS,,present=True
E,control exists: mlValidation,PASS,,present=True
E,control exists: mlThreshold,PASS,,present=True
E,control exists: sbTemp,PASS,,present=True
E,control exists: sbPH,PASS,,present=True
E,control exists: sbSal,PASS,,present=True
E,control exists: sbPressure,PASS,,present=True
E,control exists: sbO2,PASS,,present=True
E,control exists: sbH2,PASS,,present=True
E,control exists: sbCO2,PASS,,present=True
E,control exists: sbSulfate,PASS,,present=True
E,control exists: sbSulfur,PASS,,present=True
E,control exists: sbIron,PASS,,present=True
E,control exists: chatQuestion,PASS,,present=True
E,field explorer drilldown,PASS,,field detail path
E,record drilldown,PASS,,record detail path
E,metabolism search,PASS,,search path
E,environment scenario updates inputs,PASS,,scenario logic
E,environment → metabolism relationship drilldown,PASS,,record-backed flow map
E,pathway → chemistry relationship drilldown,PASS,,record-backed chemistry map
E,planetary content uses selected-world title,PASS,,world-specific content binding
E,ML transparency panel present,PASS,,predictor/methodology explanation
E,chat searches full web record,PASS,,full-record retrieval
I,donut/sunburst labels moved to external legends,PASS,,pie/sunburst chart text suppressed; external legend mounts present
I,expanded chart overflow guarded,PASS,,expanded plots receive chart-specific margins and bounded viewport height
I,temperature × pH point drilldown wired,PASS,,click and double-click resolve to record-level drilldown
I,multidimensional physiology drilldown wired,PASS,,axis brushing and point selection update the measured-record drilldown
I,taxonomy cell drilldown wired,PASS,,environment × phylum cell selection retrieves supporting records
I,oxygen selection highlighting wired,PASS,,selected oxygen category is visually emphasized and exposes detail
I,relationship maps support selected-link highlighting,PASS,,selected flows are highlighted while non-selected flows are de-emphasized
I,ML starter presets present,PASS,,preset configurations provide a guided first interaction before manual experimentation
I,chat has keyword/question/visual presets,PASS,,three preset groups are exposed
I,chat answers can be copied,PASS,,assistant responses expose a copy action
I,collapsed navigation retains readable labels,PASS,,collapsed sidebar uses data-label text rather than number-only navigation
I,source navigation and provenance note are separate functions,PASS,,top-bar link navigates; lower note records provenance without duplicating the CTA
F,ML target count: methanogenesis,PASS,,web=52 expected=52
F,ML target count: sulfate reduction,PASS,,web=77 expected=77
F,ML target count: sulfur reduction,PASS,,web=113 expected=113
F,ML target count: iron reduction,PASS,,web=26 expected=26
F,ML target count: fermentation,PASS,,web=152 expected=152
F,ML target count: hydrogen oxidation,PASS,,web=23 expected=23
F,model comparison release present,PASS,,rows=18
F,grouped validation release present,PASS,,rows=6
F,OOF row count,PASS,,rows=1238
G,14/14 has non-probabilistic framing,PASS,,"mentions=3, explicit_negation=True"
G,external links use HTTPS,PASS,,[]
G,original NASA dataset link present,PASS,,NASA/AHED link
H,responsive CSS present,PASS,,media queries
H,horizontal overflow guarded,PASS,,overflow protection
H,focus states present,PASS,,keyboard focus
H,theme support present,PASS,,light/dark mode
H,payload size under 35 MB,PASS,,24.84 MB
